model,quant,n_blocks,block_mb,total_gib,load_ms,gb_s,threads
Qwen/Qwen3-0.6B,bf16,28,30.0,0.82,247.354,3.56,16
Qwen/Qwen3-1.7B,bf16,28,96.0,2.625,654.28,4.31,16
Qwen/Qwen3-4B,bf16,36,192.5,6.768,1507.749,4.82,16
Qwen/Qwen3-8B,bf16,36,368.0,12.938,2476.478,5.61,16
google/gemma-3-12b-it,bf16,48,427.5,20.039,3895.836,5.52,16
google/gemma-3-1b-it,bf16,26,51.2,1.3,313.244,4.46,16
google/gemma-3-270m,bf16,18,10.6,0.186,83.767,2.39,16
google/gemma-3-4b-it,bf16,34,180.0,5.977,1230.757,5.21,16
Qwen/Qwen3-0.6B,nvfp4,28,8.4,0.23,116.875,2.11,16
Qwen/Qwen3-1.7B,nvfp4,28,27.0,0.738,229.58,3.45,16
Qwen/Qwen3-4B,nvfp4,36,54.2,1.905,457.556,4.47,16
Qwen/Qwen3-8B,nvfp4,36,103.5,3.639,852.527,4.58,16
google/gemma-3-12b-it,nvfp4,48,120.3,5.639,1263.648,4.79,16
google/gemma-3-1b-it,nvfp4,26,14.4,0.366,140.855,2.79,16
google/gemma-3-270m,nvfp4,18,3.0,0.053,50.004,1.13,16
google/gemma-3-4b-it,nvfp4,34,50.6,1.68,470.584,3.83,16
