model,quant,n_blocks,block_mb,total_gib,load_ms,gb_s
Qwen/Qwen3-0.6B,bf16,28,30.0,0.82,14.91,59.07
Qwen/Qwen3-1.7B,bf16,28,96.0,2.625,47.755,59.02
Qwen/Qwen3-4B,bf16,36,192.5,6.768,123.17,59.0
Qwen/Qwen3-8B,bf16,36,368.0,12.938,236.043,58.85
Qwen/Qwen3.8-27B,bf16,64,725.8,45.363,826.129,58.96
google/gemma-3-12b-it,bf16,48,427.5,20.039,517.4,41.59
google/gemma-3-1b-it,bf16,26,51.2,1.3,23.648,59.03
google/gemma-3-270m,bf16,18,10.6,0.186,3.439,58.18
google/gemma-3-4b-it,bf16,34,180.0,5.977,108.611,59.08
Qwen/Qwen3-0.6B,nvfp4,28,8.4,0.23,4.264,57.83
Qwen/Qwen3-1.7B,nvfp4,28,27.0,0.738,13.489,58.77
Qwen/Qwen3-4B,nvfp4,36,54.2,1.905,34.73,58.91
Qwen/Qwen3-8B,nvfp4,36,103.5,3.639,66.173,59.04
Qwen/Qwen3.8-27B,nvfp4,64,204.7,12.794,232.921,58.98
google/gemma-3-12b-it,nvfp4,48,120.3,5.639,133.035,45.51
google/gemma-3-1b-it,nvfp4,26,14.4,0.366,6.707,58.53
google/gemma-3-270m,nvfp4,18,3.0,0.053,1.046,54.13
google/gemma-3-4b-it,nvfp4,34,50.6,1.68,30.563,59.02
