model,quant,n_blocks,block_mb,total_gib,load_ms,gb_s,threads
Qwen/Qwen3-0.6B,bf16,28,30.0,0.82,211.769,4.16,16
Qwen/Qwen3-1.7B,bf16,28,96.0,2.625,599.077,4.7,16
Qwen/Qwen3-4B,bf16,36,192.5,6.768,1415.806,5.13,16
Qwen/Qwen3-8B,bf16,36,368.0,12.938,2418.782,5.74,16
Qwen/Qwen3.8-27B,bf16,64,725.8,45.363,8219.402,5.93,16
google/gemma-3-12b-it,bf16,48,427.5,20.039,4068.306,5.29,16
google/gemma-3-1b-it,bf16,26,51.2,1.3,298.443,4.68,16
google/gemma-3-270m,bf16,18,10.6,0.186,59.877,3.34,16
google/gemma-3-4b-it,bf16,34,180.0,5.977,1274.894,5.03,16
Qwen/Qwen3-0.6B,nvfp4,28,8.4,0.23,85.701,2.88,16
Qwen/Qwen3-1.7B,nvfp4,28,27.0,0.738,179.797,4.41,16
Qwen/Qwen3-4B,nvfp4,36,54.2,1.905,413.078,4.95,16
Qwen/Qwen3-8B,nvfp4,36,103.5,3.639,724.979,5.39,16
Qwen/Qwen3.8-27B,nvfp4,64,204.7,12.794,2487.468,5.52,16
google/gemma-3-12b-it,nvfp4,48,120.3,5.639,1101.054,5.5,16
google/gemma-3-1b-it,nvfp4,26,14.4,0.366,104.81,3.75,16
google/gemma-3-270m,nvfp4,18,3.0,0.053,29.774,1.9,16
google/gemma-3-4b-it,nvfp4,34,50.6,1.68,375.794,4.8,16
