protocol,model,quant,mode,seq_len,latency_ms,reps,n_blocks,prefill_bytes,slot_bytes,restore_bytes,n_slots,ssd_bytes_per_request,synthetic_payload
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,128,92.683,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,256,94.8,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,512,94.9,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,1024,95.835,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,2048,92.85,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,4096,99.677,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,8192,194.364,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,16384,565.03,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-0.6B,nvfp4,zero-ssd,32768,1888.189,5,28,247912448,17708032,17708032,2,265620480,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,128,200.544,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,256,201.178,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,512,197.26,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,1024,206.992,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,2048,202.236,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,4096,215.83,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,8192,306.99,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,16384,874.959,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-1.7B,nvfp4,zero-ssd,32768,2505.074,5,28,793024512,56644608,56644608,2,849669120,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,128,415.664,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,256,435.017,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,512,444.567,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,1024,452.173,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,2048,449.427,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,4096,481.529,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,8192,703.412,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,16384,1909.059,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-4B,nvfp4,zero-ssd,32768,6359.1,5,36,2044200960,113566720,113566720,2,2157767680,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,128,785.196,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,256,796.076,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,512,797.324,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,1024,793.098,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,2048,812.197,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,4096,859.424,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,8192,1103.314,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,16384,2581.466,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3-8B,nvfp4,zero-ssd,32768,7697.691,5,36,3907676160,217093120,217093120,2,4124769280,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,128,2595.616,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,256,2588.92,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,512,2616.566,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,1024,2620.782,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,2048,2695.244,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,4096,2870.272,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,8192,3755.552,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,16384,7613.84,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,Qwen/Qwen3.8-27B,nvfp4,zero-ssd,32768,16413.663,5,64,13736529920,851570176,851570176,4,14588100096,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,128,1147.838,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,256,1195.037,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,512,1179.682,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,1024,1184.597,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,2048,1195.516,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,4096,1267.839,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,8192,1559.757,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,16384,2948.721,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-12b-it,nvfp4,zero-ssd,32768,6204.273,5,48,6053216256,252217344,252217344,2,6305433600,True
odp_carveout_cold_v1,google/gemma-3-1b-it,nvfp4,zero-ssd,128,113.337,5,26,392810496,30216192,30216192,2,423026688,True
odp_carveout_cold_v1,google/gemma-3-1b-it,nvfp4,zero-ssd,256,115.287,5,26,392810496,30216192,30216192,2,423026688,True
odp_carveout_cold_v1,google/gemma-3-1b-it,nvfp4,zero-ssd,512,118.134,5,26,392810496,30216192,30216192,2,423026688,True
odp_carveout_cold_v1,google/gemma-3-1b-it,nvfp4,zero-ssd,1024,115.72,5,26,392810496,30216192,30216192,2,423026688,True
odp_carveout_cold_v1,google/gemma-3-1b-it,nvfp4,zero-ssd,2048,117.923,5,26,392810496,30216192,30216192,2,423026688,True
odp_carveout_cold_v1,google/gemma-3-1b-it,nvfp4,zero-ssd,4096,128.843,5,26,392810496,30216192,30216192,2,423026688,True
