model,quant,mode,seq_len,latency_ms,block_mb,n_blocks
google/gemma-3-270m,bf16,resident,128,1.563,10.6,18
google/gemma-3-270m,bf16,resident,256,1.935,10.6,18
google/gemma-3-270m,bf16,resident,512,2.789,10.6,18
google/gemma-3-270m,bf16,resident,1024,4.796,10.6,18
google/gemma-3-270m,bf16,resident,2048,10.272,10.6,18
google/gemma-3-270m,bf16,resident,4096,23.343,10.6,18
google/gemma-3-270m,bf16,resident,8192,51.909,10.6,18
google/gemma-3-270m,bf16,resident,16384,124.647,10.6,18
google/gemma-3-270m,bf16,resident,32768,283.719,10.6,18
google/gemma-3-270m,bf16,ssd,128,72.788,10.6,18
google/gemma-3-270m,bf16,ssd,256,73.502,10.6,18
google/gemma-3-270m,bf16,ssd,512,74.481,10.6,18
google/gemma-3-270m,bf16,ssd,1024,78.282,10.6,18
google/gemma-3-270m,bf16,ssd,2048,75.785,10.6,18
google/gemma-3-270m,bf16,ssd,4096,81.885,10.6,18
google/gemma-3-270m,bf16,ssd,8192,91.071,10.6,18
google/gemma-3-270m,bf16,ssd,16384,133.59,10.6,18
google/gemma-3-270m,bf16,ssd,32768,294.382,10.6,18
google/gemma-3-270m,nvfp4,resident,128,1.244,3.0,18
google/gemma-3-270m,nvfp4,resident,256,1.579,3.0,18
google/gemma-3-270m,nvfp4,resident,512,2.631,3.0,18
google/gemma-3-270m,nvfp4,resident,1024,3.71,3.0,18
google/gemma-3-270m,nvfp4,resident,2048,7.915,3.0,18
google/gemma-3-270m,nvfp4,resident,4096,18.771,3.0,18
google/gemma-3-270m,nvfp4,resident,8192,41.854,3.0,18
google/gemma-3-270m,nvfp4,resident,16384,101.343,3.0,18
google/gemma-3-270m,nvfp4,resident,32768,245.394,3.0,18
google/gemma-3-270m,nvfp4,ssd,128,47.091,3.0,18
google/gemma-3-270m,nvfp4,ssd,256,45.534,3.0,18
google/gemma-3-270m,nvfp4,ssd,512,44.572,3.0,18
google/gemma-3-270m,nvfp4,ssd,1024,45.978,3.0,18
google/gemma-3-270m,nvfp4,ssd,2048,49.532,3.0,18
google/gemma-3-270m,nvfp4,ssd,4096,52.676,3.0,18
google/gemma-3-270m,nvfp4,ssd,8192,55.793,3.0,18
google/gemma-3-270m,nvfp4,ssd,16384,107.123,3.0,18
google/gemma-3-270m,nvfp4,ssd,32768,253.495,3.0,18
google/gemma-3-1b-it,bf16,resident,128,8.49,51.2,26
google/gemma-3-1b-it,bf16,resident,256,10.371,51.2,26
google/gemma-3-1b-it,bf16,resident,512,13.67,51.2,26
google/gemma-3-1b-it,bf16,resident,1024,23.469,51.2,26
google/gemma-3-1b-it,bf16,resident,2048,52.158,51.2,26
google/gemma-3-1b-it,bf16,resident,4096,107.951,51.2,26
google/gemma-3-1b-it,bf16,resident,8192,213.402,51.2,26
google/gemma-3-1b-it,bf16,resident,16384,467.081,51.2,26
